Referencia;Modelo;PVP
A2851112W;DUOMO IP65/IP65 1 4000K W;241,06
A2851211W;DUOMO IP65/IP65 2 3000K W;263,84
A2851212W;DUOMO IP65/IP65 2 4000K W;263,84
A2570011W;OLYMPIA 3000K W;69
A2570012W;OLYMPIA 4000K W;69
A2570021W;OLYMPIA DIM PUSH 3000K W;115
A2570022W;OLYMPIA DIM PUSH 4000K W;115
A2570031W;OLYMPIA DIM 1/10V 3000K W;115
A2570032W;OLYMPIA DIM 1/10V 4000K W;115
A2570041W;OLYMPIA DIM DALI 3000K W;115
A2570042W;OLYMPIA DIM DALI 4000K W;115
A2580011W;OLYMPIA MINI 3000K W;51,11
A2580012W;OLYMPIA MINI 4000K W;51,11
A2580021W;OLYMPIA MINI DIM PUSH 3000K W;97,12
A2580022W;OLYMPIA MINI DIM PUSH 4000K W;97,12
A2580031W;OLYMPIA MINI DIM 1/10V 3000K W;97,12
A2580032W;OLYMPIA MINI DIM 1/10V 4000K W;97,12
A2580041W;OLYMPIA MINI DIM DALI 3000K W;97,12
A2580042W;OLYMPIA MINI DIM DALI 4000K W;97,12
A2480211WT;DEEP MAXI 2 3000K WT;184
A2480212WT;DEEP MAXI 2 4000K WT;184
A2480221WT;DEEP MAXI 2 DIM PUSH 3000K WT;237,67
A2480222WT;DEEP MAXI 2 DIM PUSH 4000K WT;237,67
A2480231WT;DEEP MAXI 2 DIM 1/10V 3000K WT;237,67
A2480232WT;DEEP MAXI 2 DIM 1/10V 4000K WT;237,67
A2480241WT;DEEP MAXI 2 DIM DALI 3000K WT;237,67
A2480242WT;DEEP MAXI 2 DIM DALI 4000K WT;237,67
A2480311WT;DEEP MAXI 3 3000K WT;191,67
A2480312WT;DEEP MAXI 3 4000K WT;191,67
A2480321WT;DEEP MAXI 3 DIM PUSH 3000K WT;245,34
A2480322WT;DEEP MAXI 3 DIM PUSH 4000K WT;245,34
A2480331WT;DEEP MAXI 3 DIM 1/10V 3000K WT;245,34
A2480332WT;DEEP MAXI 3 DIM 1/10V 4000K WT;245,34
A2480341WT;DEEP MAXI 3 DIM DALI 3000K WT;245,34
A2480342WT;DEEP MAXI 3 DIM DALI 4000K WT;245,34
A2480411WT;DEEP MAXI 4 3000K WT;204,45
A2480412WT;DEEP MAXI 4 4000K WT;204,45
A2480421WT;DEEP MAXI 4 DIM PUSH 3000K WT;255,56
A2480422WT;DEEP MAXI 4 DIM PUSH 4000K WT;255,56
A2480431WT;DEEP MAXI 4 DIM 1/10V 3000K WT;255,56
A2480432WT;DEEP MAXI 4 DIM 1/10V 4000K WT;255,56
A2480441WT;DEEP MAXI 4 DIM DALI 3000K WT;255,56
A2480442WT;DEEP MAXI 4 DIM DALI 4000K WT;255,56
A2480511WT;DEEP MAXI 5 3000K WT;237,67
A2480512WT;DEEP MAXI 5 4000K WT;237,67
A2480521WT;DEEP MAXI 5 DIM PUSH 3000K WT;293,89
A2480522WT;DEEP MAXI 5 DIM PUSH 4000K WT;293,89
A2480531WT;DEEP MAXI 5 DIM 1/10V 3000K WT;293,89
A2480532WT;DEEP MAXI 5 DIM 1/10V 4000K WT;293,89
A2480541WT;DEEP MAXI 5 DIM DALI 3000K WT;293,89
A2480542WT;DEEP MAXI 5 DIM DALI 4000K WT;293,89
A2481211WT;DEEP MAXI 2 IP54 3000K WT;191,67
A2481212WT;DEEP MAXI 2 IP54 4000K WT;191,67
A2481221WT;DEEP MAXI 2 IP54 DIM PUSH 3000K WT;245,34
A2481222WT;DEEP MAXI 2 IP54 DIM PUSH 4000K WT;245,34
A2481231WT;DEEP MAXI 2 IP54 DIM 1/10V 3000K WT;245,34
A2481232WT;DEEP MAXI 2 IP54 DIM 1/10V 4000K WT;245,34
A2481241WT;DEEP MAXI 2 IP54 DIM DALI 3000K WT;245,34
A2481242WT;DEEP MAXI 2 IP54 DIM DALI 4000K WT;245,34
A2481311WT;DEEP MAXI 3 IP54 3000K WT;199,34
A2481312WT;DEEP MAXI 3 IP54 4000K WT;199,34
A2481321WT;DEEP MAXI 3 IP54 DIM PUSH 3000K WT;253
A2481322WT;DEEP MAXI 3 IP54 DIM PUSH 4000K WT;253
A2481331WT;DEEP MAXI 3 IP54 DIM 1/10V 3000K WT;253
A2481332WT;DEEP MAXI 3 IP54 DIM 1/10V 4000K WT;253
A2481341WT;DEEP MAXI 3 IP54 DIM DALI 3000K WT;253
A2481342WT;DEEP MAXI 3 IP54 DIM DALI 4000K WT;253
A2481411WT;DEEP MAXI 4 IP54 3000K WT;212,12
A2481412WT;DEEP MAXI 4 IP54 4000K WT;212,12
A2481421WT;DEEP MAXI 4 IP54 DIM PUSH 3000K WT;263,23
A2481422WT;DEEP MAXI 4 IP54 DIM PUSH 4000K WT;263,23
A2481431WT;DEEP MAXI 4 IP54 DIM 1/10V 3000K WT;263,23
A2481432WT;DEEP MAXI 4 IP54 DIM 1/10V 4000K WT;263,23
A2481441WT;DEEP MAXI 4 IP54 DIM DALI 3000K WT;263,23
A2481442WT;DEEP MAXI 4 IP54 DIM DALI 4000K WT;263,23
A2481511WT;DEEP MAXI 5 IP54 3000K WT;245,34
A2481512WT;DEEP MAXI 5 IP54 4000K WT;245,34
A2481521WT;DEEP MAXI 5 IP54 DIM PUSH 3000K WT;301,56
A2481522WT;DEEP MAXI 5 IP54 DIM PUSH 4000K WT;301,56
A2481531WT;DEEP MAXI 5 IP54 DIM 1/10V 3000K WT;301,56
A2481532WT;DEEP MAXI 5 IP54 DIM 1/10V 4000K WT;301,56
A2481541WT;DEEP MAXI 5 IP54 DIM DALI 3000K WT;301,56
A2481542WT;DEEP MAXI 5 IP54 DIM DALI 4000K WT;301,56
A2490111WT;DEEP 1 3000K WT;94,56
A2490112WT;DEEP 1 4000K WT;94,56
A2490121WT;DEEP 1 DIM PUSH 3000K WT;140,56
A2490122WT;DEEP 1 DIM PUSH 4000K WT;140,56
A2490131WT;DEEP 1 DIM 1/10V 3000K WT;140,56
A2490132WT;DEEP 1 DIM 1/10V 4000K WT;140,56
A2490141WT;DEEP 1 DIM DALI 3000K WT;140,56
A2490142WT;DEEP 1 DIM DALI 4000K WT;140,56
A2490211WT;DEEP 2 3000K WT;97,11
A2490212WT;DEEP 2 4000K WT;97,11
A2490221WT;DEEP 2 DIM PUSH 3000K WT;143,12
A2490222WT;DEEP 2 DIM PUSH 4000K WT;143,12
A2490231WT;DEEP 2 DIM 1/10V 3000K WT;143,12
A2490232WT;DEEP 2 DIM 1/10V 4000K WT;143,12
A2490241WT;DEEP 2 DIM DALI 3000K WT;143,12
A2490242WT;DEEP 2 DIM DALI 4000K WT;143,12
A2490311WT;DEEP 3 3000K WT;102,23
A2490312WT;DEEP 3 4000K WT;102,23
A2490321WT;DEEP 3 DIM PUSH 3000K WT;148,23
A2490322WT;DEEP 3 DIM PUSH 4000K WT;148,23
A2490331WT;DEEP 3 DIM 1/10V 3000K WT;148,23
A2490332WT;DEEP 3 DIM 1/10V 4000K WT;148,23
A2490341WT;DEEP 3 DIM DALI 3000K WT;148,23
A2490342WT;DEEP 3 DIM DALI 4000K WT;148,23
A2490411WT;DEEP 4 3000K WT;153,34
A2490412WT;DEEP 4 4000K WT;153,34
A2490421WT;DEEP 4 DIM PUSH 3000K WT;199,34
A2490422WT;DEEP 4 DIM PUSH 4000K WT;199,34
A2490431WT;DEEP 4 DIM 1/10V 3000K WT;199,34
A2490432WT;DEEP 4 DIM 1/10V 4000K WT;199,34
A2490441WT;DEEP 4 DIM DALI 3000K WT;199,34
A2490442WT;DEEP 4 DIM DALI 4000K WT;199,34
A2491111WT;DEEP 1 IP54 3000K WT;99,67
A2491112WT;DEEP 1 IP54 4000K WT;99,67
A2491121WT;DEEP 1 IP54 DIM PUSH 3000K WT;145,67
A2491122WT;DEEP 1 IP54 DIM PUSH 4000K WT;145,67
A2491131WT;DEEP 1 IP54 DIM 1/10V 3000K WT;145,67
A2491132WT;DEEP 1 IP54 DIM 1/10V 4000K WT;145,67
A2491141WT;DEEP 1 IP54 DIM DALI 3000K WT;145,67
A2491142WT;DEEP 1 IP54 DIM DALI 4000K WT;145,67
A2491211WT;DEEP 2 IP54 3000K WT;102,23
A2491212WT;DEEP 2 IP54 4000K WT;102,23
A2491221WT;DEEP 2 IP54 DIM PUSH 3000K WT;148,23
A2491222WT;DEEP 2 IP54 DIM PUSH 4000K WT;148,23
A2491231WT;DEEP 2 IP54 DIM 1/10V 3000K WT;148,23
A2491232WT;DEEP 2 IP54 DIM 1/10V 4000K WT;148,23
A2491241WT;DEEP 2 IP54 DIM DALI 3000K WT;148,23
A2491242WT;DEEP 2 IP54 DIM DALI 4000K WT;148,23
A2491311WT;DEEP 3 IP54 3000K WT;107,34
A2491312WT;DEEP 3 IP54 4000K WT;107,34
A2491321WT;DEEP 3 IP54 DIM PUSH 3000K WT;153,34
A2491322WT;DEEP 3 IP54 DIM PUSH 4000K WT;153,34
A2491331WT;DEEP 3 IP54 DIM 1/10V 3000K WT;153,34
A2491332WT;DEEP 3 IP54 DIM 1/10V 4000K WT;153,34
A2491341WT;DEEP 3 IP54 DIM DALI 3000K WT;153,34
A2491342WT;DEEP 3 IP54 DIM DALI 4000K WT;153,34
A2491411WT;DEEP 4 IP54 3000K WT;158,45
A2491412WT;DEEP 4 IP54 4000K WT;158,45
A2491421WT;DEEP 4 IP54 DIM PUSH 3000K WT;204,45
A2491422WT;DEEP 4 IP54 DIM PUSH 4000K WT;204,45
A2491431WT;DEEP 4 IP54 DIM 1/10V 3000K WT;204,45
A2491432WT;DEEP 4 IP54 DIM 1/10V 4000K WT;204,45
A2491441WT;DEEP 4 IP54 DIM DALI 3000K WT;204,45
A2491442WT;DEEP 4 IP54 DIM DALI 4000K WT;204,45
A2490110WT;DEEP 1 2700K WT;94,56
A2490120WT;DEEP 1 DIM PUSH 2700K WT;140,56
A2490130WT;DEEP 1 DIM 1/10V 2700K WT;140,56
A2490140WT;DEEP 1 DIM DALI 2700K WT;140,56
A2490210WT;DEEP 2 2700K WT;97,11
A2490220WT;DEEP 2 DIM PUSH 2700K WT;143,12
A2490230WT;DEEP 2 DIM 1/10V 2700K WT;143,12
A2490240WT;DEEP 2 DIM DALI 2700K WT;143,12
A2490310WT;DEEP 3 2700K WT;102,23
A2490320WT;DEEP 3 DIM PUSH 2700K WT;148,23
A2490330WT;DEEP 3 DIM 1/10V 2700K WT;148,23
A2490340WT;DEEP 3 DIM DALI 2700K WT;148,23
A2491110WT;DEEP 1 IP54 2700K WT;99,67
A2491120WT;DEEP 1 IP54 DIM PUSH 2700K WT;145,67
A2491130WT;DEEP 1 IP54 DIM 1/10V 2700K WT;145,67
A2491140WT;DEEP 1 IP54 DIM DALI 2700K WT;145,67
A2491210WT;DEEP 2 IP54 2700K WT;102,23
A2491220WT;DEEP 2 IP54 DIM PUSH 2700K WT;148,23
A2491230WT;DEEP 2 IP54 DIM 1/10V 2700K WT;148,23
A2491240WT;DEEP 2 IP54 DIM DALI 2700K WT;148,23
A2491310WT;DEEP 3 IP54 2700K WT;107,34
A2491320WT;DEEP 3 IP54 DIM PUSH 2700K WT;153,34
A2491330WT;DEEP 3 IP54 DIM 1/10V 2700K WT;153,34
A2491340WT;DEEP 3 IP54 DIM DALI 2700K WT;153,34
A2500211WT;DEEP MINI 2 3000K WT;63,89
A2500212WT;DEEP MINI 2 4000K WT;63,89
A2500221WT;DEEP MINI 2 DIM PUSH 3000K WT;109,89
A2500222WT;DEEP MINI 2 DIM PUSH 4000K WT;109,89
A2500231WT;DEEP MINI 2 DIM 1/10V 3000K WT;109,89
A2500232WT;DEEP MINI 2 DIM 1/10V 4000K WT;109,89
A2500241WT;DEEP MINI 2 DIM DALI 3000K WT;109,89
A2500242WT;DEEP MINI 2 DIM DALI 4000K WT;109,89
A2500311WT;DEEP MINI 3 3000K WT;66,45
A2500312WT;DEEP MINI 3 4000K WT;66,45
A2500321WT;DEEP MINI 3 DIM PUSH 3000K WT;112,45
A2500322WT;DEEP MINI 3 DIM PUSH 4000K WT;112,45
A2500331WT;DEEP MINI 3 DIM 1/10V 3000K WT;112,45
A2500332WT;DEEP MINI 3 DIM 1/10V 4000K WT;112,45
A2500341WT;DEEP MINI 3 DIM DALI 3000K WT;112,45
A2500342WT;DEEP MINI 3 DIM DALI 4000K WT;112,45
A2501211WT;DEEP MINI 2 IP54 3000K WT;67,73
A2501212WT;DEEP MINI 2 IP54 4000K WT;67,73
A2501221WT;DEEP MINI 2 IP54 DIM PUSH 3000K WT;113,73
A2501222WT;DEEP MINI 2 IP54 DIM PUSH 4000K WT;113,73
A2501231WT;DEEP MINI 2 IP54 DIM 1/10V 3000K WT;113,73
A2501232WT;DEEP MINI 2 IP54 DIM 1/10V 4000K WT;113,73
A2501241WT;DEEP MINI 2 IP54 DIM DALI 3000K WT;113,73
A2501242WT;DEEP MINI 2 IP54 DIM DALI 4000K WT;113,73
A2501311WT;DEEP MINI 3 IP54 3000K WT;70,28
A2501312WT;DEEP MINI 3 IP54 4000K WT;70,28
A2501321WT;DEEP MINI 3 IP54 DIM PUSH 3000K WT;116,28
A2501322WT;DEEP MINI 3 IP54 DIM PUSH 4000K WT;116,28
A2501331WT;DEEP MINI 3 IP54 DIM 1/10V 3000K WT;116,28
A2501332WT;DEEP MINI 3 IP54 DIM 1/10V 4000K WT;116,28
A2501341WT;DEEP MINI 3 IP54 DIM DALI 3000K WT;116,28
A2501342WT;DEEP MINI 3 IP54 DIM DALI 4000K WT;116,28
A2500210WT;DEEP MINI 2 2700K WT;63,89
A2500220WT;DEEP MINI 2 DIM PUSH 2700K WT;109,89
A2500230WT;DEEP MINI 2 DIM 1/10V 2700K WT;109,89
A2500240WT;DEEP MINI 2 DIM DALI 2700K WT;109,89
A2500310WT;DEEP MINI 3 2700K WT;66,45
A2500320WT;DEEP MINI 3 DIM PUSH 2700K WT;112,45
A2500330WT;DEEP MINI 3 DIM 1/10V 2700K WT;112,45
A2500340WT;DEEP MINI 3 DIM DALI 2700K WT;112,45
A2501210WT;DEEP MINI 2 IP54 2700K WT;67,73
A2501220WT;DEEP MINI 2 IP54 DIM PUSH 2700K WT;113,73
A2501230WT;DEEP MINI 2 IP54 DIM 1/10V 2700K WT;113,73
A2501240WT;DEEP MINI 2 IP54 DIM DALI 2700K WT;113,73
A2501310WT;DEEP MINI 3 IP54 2700K WT;70,28
A2501320WT;DEEP MINI 3 IP54 DIM PUSH 2700K WT;116,28
A2501330WT;DEEP MINI 3 IP54 DIM 1/10V 2700K WT;116,28
A2501340WT;DEEP MINI 3 IP54 DIM DALI 2700K WT;116,28
A1930111WT;DROP 1 3000K WT;107,34
A1930112WT;DROP 1 4000K WT;107,34
A1930121WT;DROP 1 DIM PUSH 3000K WT;153,34
A1930122WT;DROP 1 DIM PUSH 4000K WT;153,34
A1930131WT;DROP 1 DIM 1/10V 3000K WT;153,34
A1930132WT;DROP 1 DIM 1/10V 4000K WT;153,34
A1930141WT;DROP 1 DIM DALI 3000K WT;153,34
A1930142WT;DROP 1 DIM DALI 4000K WT;153,34
A1930211WT;DROP 2 3000K WT;109,89
A1930212WT;DROP 2 4000K WT;109,89
A1930221WT;DROP 2 DIM PUSH 3000K WT;155,89
A1930222WT;DROP 2 DIM PUSH 4000K WT;155,89
A1930231WT;DROP 2 DIM 1/10V 3000K WT;155,89
A1930232WT;DROP 2 DIM 1/10V 4000K WT;155,89
A1930241WT;DROP 2 DIM DALI 3000K WT;155,89
A1930242WT;DROP 2 DIM DALI 4000K WT;155,89
A1930311WT;DROP 3 3000K WT;115
A1930312WT;DROP 3 4000K WT;115
A1930321WT;DROP 3 DIM PUSH 3000K WT;161
A1930322WT;DROP 3 DIM PUSH 4000K WT;161
A1930331WT;DROP 3 DIM 1/10V 3000K WT;161
A1930332WT;DROP 3 DIM 1/10V 4000K WT;161
A1930341WT;DROP 3 DIM DALI 3000K WT;161
A1930342WT;DROP 3 DIM DALI 4000K WT;161
A1930411WT;DROP 4 3000K WT;148,23
A1930412WT;DROP 4 4000K WT;148,23
A1930421WT;DROP 4 DIM PUSH 3000K WT;194,23
A1930422WT;DROP 4 DIM PUSH 4000K WT;194,23
A1930431WT;DROP 4 DIM 1/10V 3000K WT;194,23
A1930432WT;DROP 4 DIM 1/10V 4000K WT;194,23
A1930441WT;DROP 4 DIM DALI 3000K WT;194,23
A1930442WT;DROP 4 DIM DALI 4000K WT;194,23
A1931111WT;DROP 1 IP54 3000K WT;112,45
A1931112WT;DROP 1 IP54 4000K WT;112,45
A1931121WT;DROP 1 IP54 DIM PUSH 3000K WT;158,45
A1931122WT;DROP 1 IP54 DIM PUSH 4000K WT;158,45
A1931131WT;DROP 1 IP54 DIM 1/10V 3000K WT;158,45
A1931132WT;DROP 1 IP54 DIM 1/10V 4000K WT;158,45
A1931141WT;DROP 1 IP54 DIM DALI 3000K WT;158,45
A1931142WT;DROP 1 IP54 DIM DALI 4000K WT;158,45
A1931211WT;DROP 2 IP54 3000K WT;115
A1931212WT;DROP 2 IP54 4000K WT;115
A1931221WT;DROP 2 IP54 DIM PUSH 3000K WT;161
A1931222WT;DROP 2 IP54 DIM PUSH 4000K WT;161
A1931231WT;DROP 2 IP54 DIM 1/10V 3000K WT;161
A1931232WT;DROP 2 IP54 DIM 1/10V 4000K WT;161
A1931241WT;DROP 2 IP54 DIM DALI 3000K WT;161
A1931242WT;DROP 2 IP54 DIM DALI 4000K WT;161
A1931311WT;DROP 3 IP54 3000K WT;120,12
A1931312WT;DROP 3 IP54 4000K WT;120,12
A1931321WT;DROP 3 IP54 DIM PUSH 3000K WT;166,12
A1931322WT;DROP 3 IP54 DIM PUSH 4000K WT;166,12
A1931331WT;DROP 3 IP54 DIM 1/10V 3000K WT;166,12
A1931332WT;DROP 3 IP54 DIM 1/10V 4000K WT;166,12
A1931341WT;DROP 3 IP54 DIM DALI 3000K WT;166,12
A1931342WT;DROP 3 IP54 DIM DALI 4000K WT;166,12
A1931411WT;DROP 4 IP54 3000K WT;153,34
A1931412WT;DROP 4 IP54 4000K WT;153,34
A1931421WT;DROP 4 IP54 DIM PUSH 3000K WT;199,34
A1931422WT;DROP 4 IP54 DIM PUSH 4000K WT;199,34
A1931431WT;DROP 4 IP54 DIM 1/10V 3000K WT;199,34
A1931432WT;DROP 4 IP54 DIM 1/10V 4000K WT;199,34
A1931441WT;DROP 4 IP54 DIM DALI 3000K WT;199,34
A1931442WT;DROP 4 IP54 DIM DALI 4000K WT;199,34
A1930110WT;DROP 1 2700K WT;107,34
A1930120WT;DROP 1 DIM PUSH 2700K WT;153,34
A1930130WT;DROP 1 DIM 1/10V 2700K WT;153,34
A1930140WT;DROP 1 DIM DALI 2700K WT;153,34
A1930210WT;DROP 2 2700K WT;109,89
A1930220WT;DROP 2 DIM PUSH 2700K WT;155,89
A1930230WT;DROP 2 DIM 1/10V 2700K WT;155,89
A1930240WT;DROP 2 DIM DALI 2700K WT;155,89
A1930310WT;DROP 3 2700K WT;115
A1930320WT;DROP 3 DIM PUSH 2700K WT;161
A1930330WT;DROP 3 DIM 1/10V 2700K WT;161
A1930340WT;DROP 3 DIM DALI 2700K WT;161
A1931110WT;DROP 1 IP54 2700K WT;112,45
A1931120WT;DROP 1 IP54 DIM PUSH 2700K WT;158,45
A1931130WT;DROP 1 IP54 DIM 1/10V 2700K WT;158,45
A1931140WT;DROP 1 IP54 DIM DALI 2700K WT;158,45
A1931210WT;DROP 2 IP54 2700K WT;115
A1931220WT;DROP 2 IP54 DIM PUSH 2700K WT;161
A1931230WT;DROP 2 IP54 DIM 1/10V 2700K WT;161
A1931240WT;DROP 2 IP54 DIM DALI 2700K WT;161
A1931310WT;DROP 3 IP54 2700K WT;120,12
A1931320WT;DROP 3 IP54 DIM PUSH 2700K WT;166,12
A1931330WT;DROP 3 IP54 DIM 1/10V 2700K WT;166,12
A1931340WT;DROP 3 IP54 DIM DALI 2700K WT;166,12
A1940211WT;DROP MINI 2 3000K WT;69
A1940212WT;DROP MINI 2 4000K WT;69
A1940221WT;DROP MINI 2 DIM PUSH 3000K WT;117,56
A1940222WT;DROP MINI 2 DIM PUSH 4000K WT;117,56
A1940231WT;DROP MINI 2 DIM 1/10V 3000K WT;117,56
A1940232WT;DROP MINI 2 DIM 1/10V 4000K WT;117,56
A1940241WT;DROP MINI 2 DIM DALI 3000K WT;117,56
A1940242WT;DROP MINI 2 DIM DALI 4000K WT;117,56
A1940311WT;DROP MINI 3 3000K WT;71,56
A1940312WT;DROP MINI 3 4000K WT;71,56
A1940321WT;DROP MINI 3 DIM PUSH 3000K WT;120,12
A1940322WT;DROP MINI 3 DIM PUSH 4000K WT;120,12
A1940331WT;DROP MINI 3 DIM 1/10V 3000K WT;120,12
A1940332WT;DROP MINI 3 DIM 1/10V 4000K WT;120,12
A1940341WT;DROP MINI 3 DIM DALI 3000K WT;120,12
A1940342WT;DROP MINI 3 DIM DALI 4000K WT;120,12
A1941211WT;DROP MINI 2 IP54 3000K WT;72,84
A1941212WT;DROP MINI 2 IP54 4000K WT;72,84
A1941221WT;DROP MINI 2 IP54 DIM PUSH 3000K WT;121,39
A1941222WT;DROP MINI 2 IP54 DIM PUSH 4000K WT;121,39
A1941231WT;DROP MINI 2 IP54 DIM 1/10V 3000K WT;121,39
A1941232WT;DROP MINI 2 IP54 DIM 1/10V 4000K WT;121,39
A1941241WT;DROP MINI 2 IP54 DIM DALI 3000K WT;121,39
A1941242WT;DROP MINI 2 IP54 DIM DALI 4000K WT;121,39
A1941311WT;DROP MINI 3 IP54 3000K WT;75,39
A1941312WT;DROP MINI 3 IP54 4000K WT;75,39
A1941321WT;DROP MINI 3 IP54 DIM PUSH 3000K WT;123,95
A1941322WT;DROP MINI 3 IP54 DIM PUSH 4000K WT;123,95
A1941331WT;DROP MINI 3 IP54 DIM 1/10V 3000K WT;123,95
A1941332WT;DROP MINI 3 IP54 DIM 1/10V 4000K WT;123,95
A1941341WT;DROP MINI 3 IP54 DIM DALI 3000K WT;123,95
A1941342WT;DROP MINI 3 IP54 DIM DALI 4000K WT;123,95
A1940210WT;DROP MINI 2 2700K WT;69
A1940220WT;DROP MINI 2 DIM PUSH 2700K WT;117,56
A1940230WT;DROP MINI 2 DIM 1/10V 2700K WT;117,56
A1940240WT;DROP MINI 2 DIM DALI 2700K WT;117,56
A1940310WT;DROP MINI 3 2700K WT;71,56
A1940320WT;DROP MINI 3 DIM PUSH 2700K WT;120,12
A1940330WT;DROP MINI 3 DIM 1/10V 2700K WT;120,12
A1940340WT;DROP MINI 3 DIM DALI 2700K WT;120,12
A1941210WT;DROP MINI 2 IP54 2700K WT;72,84
A1941220WT;DROP MINI 2 IP54 DIM PUSH 2700K WT;121,39
A1941230WT;DROP MINI 2 IP54 DIM 1/10V 2700K WT;121,39
A1941240WT;DROP MINI 2 IP54 DIM DALI 2700K WT;121,39
A1941310WT;DROP MINI 3 IP54 2700K WT;75,39
A1941320WT;DROP MINI 3 IP54 DIM PUSH 2700K WT;123,95
A1941330WT;DROP MINI 3 IP54 DIM 1/10V 2700K WT;123,95
A1941340WT;DROP MINI 3 IP54 DIM DALI 2700K WT;123,95
A2230110NT;DROP MICRO TRANSP 140mA 5W 2700K NT;48,56
A2230110WT;DROP MICRO TRANSP 140mA 5W 2700K WT;48,56
A2230111NT;DROP MICRO TRANSP 140mA 5W 3000K NT;48,56
A2230111WT;DROP MICRO TRANSP 140mA 5W 3000K WT;48,56
A2230112NT;DROP MICRO TRANSP 140mA 5W 4000K NT;48,56
A2230112WT;DROP MICRO TRANSP 140mA 5W 4000K WT;48,56
A2230210NT;DROP MICRO TRANSP 200mA 7.5W 2700K NT;57,5
A2230210WT;DROP MICRO TRANSP 200mA 7.5W 2700K WT;57,5
A2230211NT;DROP MICRO TRANSP 200mA 7.5W 3000K NT;57,5
A2230211WT;DROP MICRO TRANSP 200mA 7.5W 3000K WT;57,5
A2230212NT;DROP MICRO TRANSP 200mA 7.5W 4000K NT;57,5
A2230212WT;DROP MICRO TRANSP 200mA 7.5W 4000K WT;57,5
A2230220NT;DROP MICRO TRANSP 200mA 7.5W DIM PH.CUT 2700K NT;67,73
A2230220WT;DROP MICRO TRANSP 200mA 7.5W DIM PH.CUT 2700K WT;67,73
A2230221NT;DROP MICRO TRANSP 200mA 7.5W DIM PH.CUT 3000K NT;67,73
A2230221WT;DROP MICRO TRANSP 200mA 7.5W DIM PH.CUT 3000K WT;67,73
A2230222NT;DROP MICRO TRANSP 200mA 7.5W DIM PH.CUT 4000K NT;67,73
A2230222WT;DROP MICRO TRANSP 200mA 7.5W DIM PH.CUT 4000K WT;67,73
A2240110NT;DROP MICRO MATT 140mA 5W 2700K NT;48,56
A2240110WT;DROP MICRO MATT 140mA 5W 2700K WT;48,56
A2240111NT;DROP MICRO MATT 140mA 5W 3000K NT;48,56
A2240111WT;DROP MICRO MATT 140mA 5W 3000K WT;48,56
A2240112NT;DROP MICRO MATT 140mA 5W 4000K NT;48,56
A2240112WT;DROP MICRO MATT 140mA 5W 4000K WT;48,56
A2240210NT;DROP MICRO MATT 200mA 7.5W 2700K NT;57,5
A2240210WT;DROP MICRO MATT 200mA 7.5W 2700K WT;57,5
A2240211NT;DROP MICRO MATT 200mA 7.5W 3000K NT;57,5
A2240211WT;DROP MICRO MATT 200mA 7.5W 3000K WT;57,5
A2240212NT;DROP MICRO MATT 200mA 7.5W 4000K NT;57,5
A2240212WT;DROP MICRO MATT 200mA 7.5W 4000K WT;57,5
A2240220NT;DROP MICRO MATT 200mA 7.5W DIM PH.CUT 2700K NT;67,73
A2240220WT;DROP MICRO MATT 200mA 7.5W DIM PH.CUT 2700K WT;67,73
A2240221NT;DROP MICRO MATT 200mA 7.5W DIM PH.CUT 3000K NT;67,73
A2240221WT;DROP MICRO MATT 200mA 7.5W DIM PH.CUT 3000K WT;67,73
A2240222NT;DROP MICRO MATT 200mA 7.5W DIM PH.CUT 4000K NT;67,73
A2240222WT;DROP MICRO MATT 200mA 7.5W DIM PH.CUT 4000K WT;67,73
A2350211WT;DROP MAXI 2 3000K WT;191,66
A2350212WT;DROP MAXI 2 4000K WT;191,66
A2350221WT;DROP MAXI 2 DIM PUSH 3000K WT;245,34
A2350222WT;DROP MAXI 2 DIM PUSH 4000K WT;245,34
A2350231WT;DROP MAXI 2 DIM 1/10V 3000K WT;245,34
A2350232WT;DROP MAXI 2 DIM 1/10V 4000K WT;245,34
A2350241WT;DROP MAXI 2 DIM DALI 3000K WT;245,34
A2350242WT;DROP MAXI 2 DIM DALI 4000K WT;245,34
A2350311WT;DROP MAXI 3 3000K WT;199,33
A2350312WT;DROP MAXI 3 4000K WT;199,33
A2350321WT;DROP MAXI 3 DIM PUSH 3000K WT;253
A2350322WT;DROP MAXI 3 DIM PUSH 4000K WT;253
A2350331WT;DROP MAXI 3 DIM 1/10V 3000K WT;253
A2350332WT;DROP MAXI 3 DIM 1/10V 4000K WT;253
A2350341WT;DROP MAXI 3 DIM DALI 3000K WT;253
A2350342WT;DROP MAXI 3 DIM DALI 4000K WT;253
A2350411WT;DROP MAXI 4 3000K WT;212,12
A2350412WT;DROP MAXI 4 4000K WT;212,12
A2350421WT;DROP MAXI 4 DIM PUSH 3000K WT;263,33
A2350422WT;DROP MAXI 4 DIM PUSH 4000K WT;263,33
A2350431WT;DROP MAXI 4 DIM 1/10V 3000K WT;263,33
A2350432WT;DROP MAXI 4 DIM 1/10V 4000K WT;263,33
A2350441WT;DROP MAXI 4 DIM DALI 3000K WT;263,33
A2350442WT;DROP MAXI 4 DIM DALI 4000K WT;263,33
A2350511WT;DROP MAXI 5 3000K WT;245,34
A2350512WT;DROP MAXI 5 4000K WT;245,34
A2350521WT;DROP MAXI 5 DIM PUSH 3000K WT;301,56
